fffffb4380	 0002546d5c
00e53b0546	 fffb43fb27
ff95998ae6	 00719d31f8
ffab63a4f5	 ff84fd42de
00a951e4bf	 ffd5f14c70
ffd33b9734	 0073749003
0023e2ca96	 00223f61c3
ff85349d40	 ffea678c01
ff709496d7	 00b62c368c
feb692b392	 ffcba2a853
0077bdc26f	 007d34b964
00ce9b3cc2	 ff701db265
00434ff404	 ffe48c0fc6
0005fb0fec	 010d8deade
00a10bbb3e	 0090d7cb0e
007edf12ce	 ff28479ded
00576a4471	 00afc03728
ff5259f66f	 009520680e
00b734465a	 ffc64633a8
ffed138b0a	 fff7c6ed15
0011ad2181	 ffc7f2115e
0088913084	 00170d5a56
0008a21c0c	 002fc5aba7
008784f08e	 013b46d975
ff2646b5b9	 00333b6951
0020513b3b	 00345ff3ae
006ed7ce24	 00676169f1
ffc9163ef5	 ff94c04bea
ff544a78b1	 0020b1deea
013eb5b2c5	 0017376589
ff50e388cb	 ffa7d789c7
0084d1d149	 ffd8532d22
ffc8051697	 00e3b60071
00a2bde91e	 ff2efbc980
ffd11e0950	 00ed369669
004b263f99	 0012a27088
ffd071b5cf	 ff92ec283d
01218f0f3e	 00615592ae
ff348bfe91	 00d4159ab3
00667edfa9	 ff9fe4e051
009c63cf90	 00d680e191
0043b7caf5	 ffead942d4
00c303701b	 ff65a2027b
ffc9515d79	 003d83d381
006a95c0a5	 ff93f79105
ff4d3d1b2b	 ff62061d54
ff2c9afb92	 ff969c19b7
00538266ba	 011376cde2
0069535f1d	 ffb06cd90b
ff5b036866	 ffa5f1611f
ffe5686ca5	 00bccdcc96
ffc527b43c	 ff6738febb
000023ffaa	 0037c422dd
00f61782bc	 ff6a09090d
00e55e7247	 00514ae07d
ffcbc32f38	 006202cf2e
014491d47a	 feb0c1a1cc
ff2ae038c8	 ff6aa8df54
00b92a5e50	 ffd9947114
ffe348453c	 ff6efa1023
ffe161693f	 002d2d0f29
ffacbedd67	 002ce67278
006951a5c8	 ffb9435f52
00a4d7d7fb	 003f4c7314
00a9e444aa	 000343780a
009da34828	 002380ae68
ff55ae7150	 ff6a02392f
00d35bc6b5	 001ca2c35c
fef316b825	 ff586cfee0
011c99e0a5	 ffcdea8e2b
001060eef8	 ffa9f190e5
ffcafb10eb	 ff59c62d89
ffb54f465c	 ff454e6fa6
00511bd3d0	 ff30bc1243
003723fc0a	 004d1f5ea1
00bda1a799	 ffe00f4728
fef1d6ca21	 ffd4f71dcd
ffcc22fcd5	 ff64760123
00c3a81a1c	 00fbd61aa8
ff61cd6eba	 ffb08b6bd5
00bee549ed	 ffb1e9b3b4
feea15374e	 00dacd517b
ff796bb870	 ffc6fdcbcb
ff4a0ed6de	 ffbc3fd963
00ba3ebdcd	 ff352ae68f
00063c4efd	 fef11f7dd4
00f2f3bbcf	 00b931c112
ff9cee3357	 ff8130e66a
0090a1c4e1	 ffff1d453b
002866e21f	 00c3af333e
ff2811275c	 fff686dcfe
000d2ef82b	 0038fc1de0
ff9e9b2bb1	 ffde33b526
008060a2dc	 ff349c9d61
ffb26e2bb1	 00214fc735
00888a5c4d	 005185dc41
0128f87a55	 00cfd2a1cd
00030fdbd7	 ff2cb445c3
ff42bf2c71	 00ecb1fc20
0156a73145	 ffdb9be502
ff1da0dc7c	 000330c71f
ffa852f2bd	 ffab3ae19e
00ee70bec5	 008893c87e
ffc597f4f6	 009d8a59d6
000855894e	 fff21ce499
018bdaf25f	 ffdbdaf9f2
ff372c25f0	 ffbcfba87f
ff7428bfd9	 00196f4d13
ff6ada15c7	 ffe1f7461a
00dd1c434e	 feb26fa56c
00dc471fe9	 006a7b6e37
004a4f48c6	 00e4c9a654
001500b2f1	 ff8614f8f4
ffbef0e5bc	 ff080843a0
ffefc190b8	 007e05f242
ffb834bc91	 002588e7bf
00cc7fb79f	 002f02ad6b
ffbe697b78	 008c27829e
005f3b33f9	 ff970b1ade
00da138ea6	 0074850d10
0115bfd32d	 ff57b2189c
ffa5dc57de	 ff8ac19f54
000c6428b5	 ffa6691dd9
0037128b5b	 009ed407af
006a800ad4	 ff8b1502d0
ffa0d3a39a	 ff960d1f91
00c3e42580	 0049f18dca
ffc5889087	 0052191118
001239b8f6	 ff83af1bce
00262d1832	 ff31946652
ff8abd36cd	 ffdd82851d
fff538179a	 0005420f26
0009cd135b	 ffa2df5e07
fff2d0ee78	 0010f05c00
ff34bdab2a	 0048353785
0088d4918b	 ffe5f9641f
0008836e7b	 009394a4b0
009da1d335	 fff197d26a
ff7906e0fc	 005308f070
00f41fa7db	 00686fbd92
ff324782f4	 ff7cc1d465
007fb7545e	 00d267e6a9
00a5e28bdb	 fffbd1c102
00b63d9f83	 000a5c71d7
ff279ad763	 00f318cbb2
001e921b7a	 ff538aea57
00bca51795	 00e7e82bbb
00384821b0	 ffd4f25035
004b18f354	 008c1b7624
ff2bf8d1bb	 ffd996ee0d
006f3493ef	 fecfd55092
ffd81cdf3a	 ff9a64e810
ffd912ae84	 003034c092
00e51aa199	 01175854f2
00147d40b8	 00e0aba7b8
ff1a4e0b5f	 ffbc201376
006a5bef43	 00b1317444
ffc9b5177b	 011593db2f
0107d557ec	 ff8ef03bcd
0165b6a38e	 ffb0b8bc05
feef4d6130	 ffecdaa06f
ffdec136f4	 0093af3cb2
001903c07b	 009d52ec95
ff7543dee3	 006dd75398
00422757f1	 0056d23d13
00b866477a	 004e07c6d6
ff7e8373f3	 fec7671da1
00949526e7	 ff72498d73
006b30c0ba	 ffb2490955
010741daa3	 00a8f08bf2
ffacd3722a	 ffa5fa8514
feab2ad5f3	 006bb96bfc
008a2a1525	 003ed71855
00115b7f96	 ffedcd040b
001a684efd	 ff478c5e53
ffd4e86e4e	 001f6ae8f3
0069802d28	 ff0f588593
fffd65ce5d	 00654f8b39
ff925c1033	 009af4a143
00797adfad	 00f017625c
ffead03d8d	 ff844e3b60
ff9001dd06	 ff6be0bde4
00249105b1	 000f423461
007bd1154a	 ffddb563a2
004256478f	 feede5063f
0063a9dc35	 ff9ffe4219
00426dab72	 ff11b828ca
ffc3f5d576	 0035ac82b4
0039a13b53	 ff4b4a439f
ffde3f9e88	 ffa06bc4c0
0080e9f842	 0093a17000
ffd7e7611e	 ff3f673f82
0047bde3d2	 ff11b76f17
ff983d71fe	 0160963221
0046a46e64	 ff3731101f
0047904adc	 ffa9ceef98
00651ed295	 fff44b8470
ffd5d04113	 ff7fc4a885
fff5b2059a	 005eb22d7e
008f8e4ce2	 ff6d12bf70
00347ef926	 003ad26f98
000760f342	 fff0b630de
003fe5f012	 ff6204284e
ffdcdec97e	 ffb4ea5a9d
ff5d846856	 ffc1accf01
004c0eb162	 00c7d65c3b
ffca6d5f62	 00107e2e96
009df0ab17	 ff76fd9c18
0021e2784a	 0095b16f7e
005c22ed9f	 ff42c7102f
ffefa8fe44	 ff44ce8ef0
ff8f9c9f9c	 ff4f3a3453
ffb15540b1	 ff94db23c0
006205d21f	 0086c064b3
00928dd90d	 001e034fd5
fffaee3b0d	 007b31744a
0096da68fb	 fff848c525
fff822e853	 00342ec819
fff8552bc4	 ffab739914
00606b2de3	 ffcc8f4fdb
000f4e98be	 00696297bc
004e79a522	 ffcfcb4cbd
ffece11a1d	 00420fea0c
ffdca21a07	 00046d110f
0062af804c	 0042b88c2a
003efbdd5c	 00873509da
002d0ebb0f	 ffb7dc128f
00457c6b32	 0042f4d4f4
ff832bb279	 ff5b2c3a85
00290d777e	 001bc25bbe
0027c079c9	 ffbf5bedc6
00167763ea	 00e969720a
0092e4ca80	 ff9b25deb9
ff6b5a71f0	 00031ddaa1
ff4bad522d	 006a1cb36f
0012d15b7e	 003b85181d
fff0b76e37	 ffc87fb416
ffe41daa11	 0041f04403
0013fa262f	 ff7d6f74f1
0074d7c1f7	 0087e56bbd
ffd9bb5d5f	 0049af169a
00621ee959	 0025d6d2d9
002bc480f8	 ff87bd0e80
000720f966	 ffca74d415
ffbdf20700	 004431f71e
0008e3708b	 00b2931ef8
0008fc8cf4	 ffaeb8d118
002acad753	 0045f7726d
fff089cf57	 ffd5795898
ffb7b1917d	 004bf7e178
0025cab316	 ff718661c1
0003ba4049	 007b926c1d
fff47a1a81	 ffb6ce1392
00297ea3e9	 0000290097
00071d6498	 0032efa5ff
ffcc813aa6	 00518d2ded
007fd70d58	 ff9ea42549
001eaf3947	 ffe229a1db
0027ee9d6c	 fffb692411
ffb53b6cb2	 0003400be3
ff6f9169b0	 ffa12406b6
0034a1ecb8	 fff00608b4
001f0fe892	 001ed82d9e
000d067269	 007ff8d341
001d2e7c2f	 ff1ea98e76
ffce4fca78	 ffef2c093d
ffe9e054ec	 0043c6c8c6
006568d5cf	 003af993aa
00176517c6	 ff69b00cb3
003b80a178	 ffdce3aad3
ffc458e4c9	 001c6bfd3f
ffdb49a46b	 006172203e
000af15305	 ffde753e70
00096dbb15	 ffac3dd700
ffeaa0c86d	 0079fb27f3
ffcca58501	 0046585568
0017859705	 ff9e1defcb
ffcd689490	 000d370f18
0027b74bac	 002935b3b4
001881ec64	 ffc7fb6d82
ffffd1e76a	 ff941cd3d4
000450e2e6	 0037262e32
fffd4b9fee	 0041735de0
00047a52e0	 002cddabf2
fffc269922	 ffee7f6ba0
fffe9d7bdc	 0009e3ac50
fffe5f5343	 00131f9891
0001393000	 000bf5f103
0000d23c00	 fffef86300
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
0000000000	 0000000000
ffff077000	 fffed964fc
ffffff51c0	 0002a037db
0000f7a2ac	 000b291f73
ffff3190ad	 fff9de24c3
fffb1df905	 0013389f10
0003d8e721	 ffec740cd5
0005b1508f	 fff24001dd
fff2203ee9	 000f6a6f31
00096f015b	 ffe1447616
0013bb2057	 0028f31724
ffea75ff74	 00004561df
0003b2631d	 000a64a6e6
00171a9171	 00093353e3
fffa623f92	 ffec868c9f
fff577e9c0	 00058ab810
00028da5fc	 000a9dfea4
fffe1c37af	 fff16d7f89
fff4d14c5a	 0022fcd04d
00078aa4e7	 fff7c7a387
000a22694a	 000fdc156f
ffff1a3734	 004a6a493b
fff40e0047	 ffda69b63a
00137909c9	 00079b48b5
00083425d9	 ffd369df14
ffd947f7ed	 ffd1fa5a07
0004b3de2e	 0028359fd7
0014b4343a	 002a9ff57d
fffb7605d5	 ffdf188bf6
00076d3bd2	 0014a625ec
fff640dadc	 0010448fcc
ffd568c4e6	 ffbd30d03a
000fdd4ad2	 fffb21c7f2
fff6d9d297	 0020d845c4
ffc13c8466	 ff95b4e162
0014cc5cc9	 00784d1c4e
0017c7fb1c	 00187b5ca1
ffece5e8b0	 000fbbb81d
002377ed6e	 0040a2760f
